Product Name,Product URL,Scraped Image URL
Patterned cotton shorts,https://us.maje.com/en/p/patterned-cotton-shorts/MFPSH00563_B046.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwd969781a/images/hi-res/Maje_MFPSH00563-B046_H_1.jpg?sw=720&sh=955
Long denim skirt,https://us.sandro-paris.com/en/p/long-denim-skirt/MFPJU01194_0201.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw01d60352/images/hi-res/Maje_MFPJU01194-0201_H_1.jpg?sw=720&sh=955
Fitted tweed jacket,https://us.sandro-paris.com/en/p/fitted-tweed-jacket/MFPBL00702_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw4aabe8af/images/hi-res/Maje_MFPBL00702-0101_H_1.jpg?sw=720&sh=955
Knit cardigan,https://us.sandro-paris.com/en/p/knit-cardigan/MFPCA00488_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwd1a77d94/images/hi-res/Maje_MFPCA00488-2517_H_1.jpg?sw=720&sh=955
Floral blouse,https://us.sandro-paris.com/en/p/floral-blouse/MFPTO00978_K032.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw416518fe/images/hi-res/Maje_MFPTO00978-K032_H_1.jpg?sw=720&sh=955
Short floral dress,https://us.sandro-paris.com/en/p/short-floral-dress/MFPRO03474_K032.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwf99012f7/images/hi-res/Maje_MFPRO03474-K032_H_1.jpg?sw=720&sh=955
Crochet trousers,https://us.sandro-paris.com/en/p/crochet-trousers/MFPPA00630_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwfa25a9a9/images/hi-res/Maje_MFPPA00630-2517_H_1.jpg?sw=720&sh=955
Guipure crop top,https://us.sandro-paris.com/en/p/guipure-crop-top/MFPTO01011_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwde9122d2/images/hi-res/Maje_MFPTO01011-2517_H_1.jpg?sw=720&sh=955
Cutaway maxi dress,https://us.sandro-paris.com/en/p/cutaway-maxi-dress/MFPRO03621_B046.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwee5a46a4/images/hi-res/Maje_MFPRO03621-B046_H_1.jpg?sw=720&sh=955
Blue ruffled dress,https://us.sandro-paris.com/en/p/blue-ruffled-dress/MFPRO02830_2507.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe4c3ca00/images/hi-res/Maje_MFPRO02830-2507_H_1.jpg?sw=720&sh=955
Wide-leg jeans,https://us.sandro-paris.com/en/p/wide-leg-jeans/MFPJE00523_10.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw5c96a358/images/hi-res/Maje_MFPJE00523-10_H_1.jpg?sw=720&sh=955
Short tweed tie dress,https://us.sandro-paris.com/en/p/short-tweed-tie-dress/MFPRO03515_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw0d121912/images/hi-res/Maje_MFPRO03515-0101_H_1.jpg?sw=720&sh=955
Short tweed dress with trim,https://us.sandro-paris.com/en/p/short-tweed-dress-with-trim/MFPRO03422_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2cdef7b9/images/hi-res/Maje_MFPRO03422-2517_H_1.jpg?sw=720&sh=955
Asymmetrical maxi dress,https://us.sandro-paris.com/en/p/asymmetrical-maxi-dress/MFPRO03537_O018.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwb1e47aa4/images/hi-res/Maje_MFPRO03537-O018_H_1.jpg?sw=720&sh=955
2-in-1 maxi dress,https://us.sandro-paris.com/en/p/2-in-1-maxi-dress/MFPRO03559_O018.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwa2c8c950/images/hi-res/Maje_MFPRO03559-O018_H_1.jpg?sw=720&sh=955
Crochet-knit maxi dress,https://us.sandro-paris.com/en/p/crochet-knit-maxi-dress/MFPRO02952_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2831563e/images/hi-res/Maje_MFPRO02952-2517_H_1.jpg?sw=720&sh=955
Jacket whool,https://us.sandro-paris.com/en/p/jacket-whool/MFPBL00636_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwabd464bb/images/hi-res/Maje_MFPBL00636-2517_H_1.jpg?sw=720&sh=955
Tweed jacket,https://us.sandro-paris.com/en/p/tweed-jacket/MFPVE00531_0500.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw5fdf8a76/images/hi-res/Maje_MFPVE00531-0500_H_1.jpg?sw=720&sh=955
Leather shirt,https://us.sandro-paris.com/en/p/leather-shirt/MFPCM00504_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw179c10c3/images/hi-res/Maje_MFPCM00504-2517_H_1.jpg?sw=720&sh=955
Short pleated dress,https://us.sandro-paris.com/en/p/short-pleated-dress/MFPRO03374_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwf210e725/images/hi-res/Maje_MFPRO03374-2517_H_1.jpg?sw=720&sh=955
Short embroidered linen dress,https://us.sandro-paris.com/en/p/short-embroidered-linen-dress/MFPRO03330_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwa4396dac/images/hi-res/Maje_MFPRO03330-2517_H_1.jpg?sw=720&sh=955
Openwork linen shorts with rivets,https://us.sandro-paris.com/en/p/openwork-linen-shorts-with-rivets/MFPSH00521_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwf7cf65e7/images/hi-res/Maje_MFPSH00521-2517_H_1.jpg?sw=720&sh=955
Asymmetric satin-effect maxi dress,https://us.sandro-paris.com/en/p/asymmetric-satin-effect-maxi-dress/MFPRO03563_0201.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwd9460b05/images/hi-res/Maje_MFPRO03563-0201_H_1.jpg?sw=720&sh=955
Tie-dye knit maxi dress,https://us.sandro-paris.com/en/p/tie-dye-knit-maxi-dress/MFPRO03578_0103.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw0cb55ff7/images/hi-res/Maje_MFPRO03578-0103_F_1.jpg?sw=720&sh=955
Crochet Clovers shirt,https://us.sandro-paris.com/en/p/crochet-clovers-shirt/MFPCM00567_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwb753e04c/images/hi-res/Maje_MFPCM00567-2517_H_1.jpg?sw=720&sh=955
Wide-leg crochet trousers,https://us.sandro-paris.com/en/p/wide-leg-crochet-trousers/MFPPA00623_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwcd4af71f/images/hi-res/Maje_MFPPA00623-2517_H_1.jpg?sw=720&sh=955
Short embroidered tunic dress,https://us.sandro-paris.com/en/p/short-embroidered-tunic-dress/MFPRO03656_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwdd0f5806/images/hi-res/Maje_MFPRO03656-2517_H_1.jpg?sw=720&sh=955
Floral print maxi skirt,https://us.sandro-paris.com/en/p/floral-print-maxi-skirt/MFPJU01249_B046.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe8df0a85/images/hi-res/Maje_MFPJU01249-B046_H_1.jpg?sw=720&sh=955
Patterned cropped shirt,https://us.sandro-paris.com/en/p/patterned-cropped-shirt/MFPCM00557_B046.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw5b4b53f2/images/hi-res/Maje_MFPCM00557-B046_H_1.jpg?sw=720&sh=955
Short full dress,https://us.sandro-paris.com/en/p/short-full-dress/MFPRO03564_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwcd3c0973/images/hi-res/Maje_MFPRO03564-0101_H_1.jpg?sw=720&sh=955
Tweed top,https://us.sandro-paris.com/en/p/tweed-top/MFPTO00996_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw0f49568b/images/hi-res/Maje_MFPTO00996-0101_H_1.jpg?sw=720&sh=955
Mid-length satin-effect skirt,https://us.sandro-paris.com/en/p/mid-length-satin-effect-skirt/MFPJU01264_D042.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwb0938409/images/hi-res/Maje_MFPJU01264-D042_H_1.jpg?sw=720&sh=955
Embroidered jeans,https://us.sandro-paris.com/en/p/embroidered-jeans/MFPJE00585_0201.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe42e6079/images/hi-res/Maje_MFPJE00585-0201_H_1.jpg?sw=720&sh=955
