Product Name,Color,Product URL,Unique Color ID,Price Before,Price After
Ryden Knit Dress,Black,https://www.thereformation.com/products/ryden-knit-dress/1310882TWS.html?dwvar_1310882TWS_color=BLK,B12A3K,$148,$44.40
Ryden Knit Dress,Tan,https://www.thereformation.com/products/ryden-knit-dress/1310882TWS.html?dwvar_1310882TWS_color=TAN,T1N,$148,$44.40
Ryden Knit Dress,Twisted,https://www.thereformation.com/products/ryden-knit-dress/1310882TWS.html?dwvar_1310882TWS_color=TWS,T23I19T5D,$148,$44.40
Domini Dress,Lipstick,https://www.thereformation.com/products/domini-dress/1314673WHT.html?dwvar_1314673WHT_color=LPS,L9P19T9C11,$278,$139
Domini Dress,White,https://www.thereformation.com/products/domini-dress/1314673WHT.html?dwvar_1314673WHT_color=WHT,W8I20E,$278,$139
Jeune Dress,Isla,https://www.thereformation.com/products/jeune-dress/1310804ISL.html?dwvar_1310804ISL_color=ISL,I19L1,$218,$109
Jeune Dress,Layla,https://www.thereformation.com/products/jeune-dress/1310804ISL.html?dwvar_1310804ISL_color=LYA,L1Y12A,$218,$109
Frasier Dress,Forest,https://www.thereformation.com/products/frasier-dress/1310068LUC.html?dwvar_1310068LUC_color=FOE,F15R5S20,$248,$124
Frasier Dress,Lucca,https://www.thereformation.com/products/frasier-dress/1310068LUC.html?dwvar_1310068LUC_color=LUC,L21C3A,$248,$124
Laly Dress,Ivory,https://www.thereformation.com/products/laly-dress/1315401IVO.html?dwvar_1315401IVO_color=IVO,I22O18Y,$248,$74.40
Laly Dress,Red,https://www.thereformation.com/products/laly-dress/1315401IVO.html?dwvar_1315401IVO_color=RED,R5D,$248,$74.40
Grace Linen Two Piece,Black,https://www.thereformation.com/products/grace-linen-two-piece/1314999CZM.html?dwvar_1314999CZM_color=BLK,B12A3K,$248,$74.40
Grace Linen Two Piece,Cozumel,https://www.thereformation.com/products/grace-linen-two-piece/1314999CZM.html?dwvar_1314999CZM_color=CZM,C15Z21M5L,$248,$74.40
Grace Linen Two Piece,Sundried Tomato,https://www.thereformation.com/products/grace-linen-two-piece/1314999CZM.html?dwvar_1314999CZM_color=SDM,S21N4R9E4T15,$248,$74.40
Grace Linen Two Piece,White,https://www.thereformation.com/products/grace-linen-two-piece/1314999CZM.html?dwvar_1314999CZM_color=WHT,W8I20E,$248,$74.40
Mya Dress,Rosato,https://www.thereformation.com/products/mya-dress/1312197ROT.html?dwvar_1312197ROT_color=ROT,R15S1T15,$248,$74.40
Mya Dress,Sagittarius,https://www.thereformation.com/products/mya-dress/1312197ROT.html?dwvar_1312197ROT_color=SGU,S1G9T20A18I21,$248,$74.40
Nila Long Denim Skirt,Galway,https://www.thereformation.com/products/nila-long-denim-skirt/1311890GWY.html?dwvar_1311890GWY_color=GWY,G1L23A25,$168,$84
Nila Long Denim Skirt,Nome,https://www.thereformation.com/products/nila-long-denim-skirt/1311890GWY.html?dwvar_1311890GWY_color=NME,N15M5,$168,$84
Tazz Maxi Denim Skirt,Hemlock,https://www.thereformation.com/products/tazz-maxi-denim-skirt/1311979HML.html?dwvar_1311979HML_color=HML,H5M12O3K,$188,$56.40
Tazz Maxi Denim Skirt,Hemlock Studded,https://www.thereformation.com/products/tazz-maxi-denim-skirt/1311979HML.html?dwvar_1311979HML_color=HMS,H5M12O3K19T21,$188,$56.40
Tazz Maxi Denim Skirt,Liman,https://www.thereformation.com/products/tazz-maxi-denim-skirt/1311979HML.html?dwvar_1311979HML_color=IMA,L9M1N,$188,$56.40
Holt Linen Dress,Danube,https://www.thereformation.com/products/holt-linen-dress/1315006WHT.html?dwvar_1315006WHT_color=DAN,D1N21B5,$218,$109
Holt Linen Dress,White,https://www.thereformation.com/products/holt-linen-dress/1315006WHT.html?dwvar_1315006WHT_color=WHT,W8I20E,$218,$109
Mason Pant,Black Currant,https://www.thereformation.com/products/mason-pant/1305906CML.html?dwvar_1305906CML_color=BKX,B12A3K3U18R1,$178,$89
Mason Pant,Black,https://www.thereformation.com/products/mason-pant/1305906CML.html?dwvar_1305906CML_color=BLK,B12A3K,$178,$89
Mason Pant,Charcoal,https://www.thereformation.com/products/mason-pant/1305906CML.html?dwvar_1305906CML_color=CHC,C8A18C15A12,$178,$89
Mason Pant,Camel,https://www.thereformation.com/products/mason-pant/1305906CML.html?dwvar_1305906CML_color=CML,C1M5L,$178,$89
Mason Pant,Corvette,https://www.thereformation.com/products/mason-pant/1305906CML.html?dwvar_1305906CML_color=CVT,C15R22E20T5,$178,$89
Mason Pant,Khaki,https://www.thereformation.com/products/mason-pant/1305906CML.html?dwvar_1305906CML_color=KHA,K8A11I,$178,$89
Mason Pant,Slate Stripe,https://www.thereformation.com/products/mason-pant/1305906CML.html?dwvar_1305906CML_color=SLP,S12A20E19T18I16,$178,$89
Mason Pant,Sugar,https://www.thereformation.com/products/mason-pant/1305906CML.html?dwvar_1305906CML_color=USG,S21G1R,$178,$89
Mason Pant,Woodland,https://www.thereformation.com/products/mason-pant/1305906CML.html?dwvar_1305906CML_color=WLN,W15O4L1N4,$178,$89
Satori Linen Dress,Avocado,https://www.thereformation.com/products/satori-linen-dress/1314984BOG.html?dwvar_1314984BOG_color=AVO,A22O3A4O,$278,$139
Satori Linen Dress,Blood Orange,https://www.thereformation.com/products/satori-linen-dress/1314984BOG.html?dwvar_1314984BOG_color=BOG,B12O15D15R1N7,$278,$139
Satori Linen Dress,Cafe,https://www.thereformation.com/products/satori-linen-dress/1314984BOG.html?dwvar_1314984BOG_color=CAF,C1F5,$278,$139
Siana Dress,Mink,https://www.thereformation.com/products/siana-dress/1315838PPK.html?dwvar_1315838PPK_color=KNM,M9N11,$278,$83.40
Siana Dress,Paprika,https://www.thereformation.com/products/siana-dress/1315838PPK.html?dwvar_1315838PPK_color=PPK,P1P18I11A,$278,$83.40
Raye Mid Rise 6" Relaxed Jean Shorts,Chesapeake Studded,https://www.thereformation.com/products/raye-mid-rise-6-relaxed-jean-shorts/1312135OLO.html?dwvar_1312135OLO_color=CDD,C8E19A16E1K5,$128,$64
Raye Mid Rise 6" Relaxed Jean Shorts,Fior Di Latte,https://www.thereformation.com/products/raye-mid-rise-6-relaxed-jean-shorts/1312135OLO.html?dwvar_1312135OLO_color=FDL,F9O18D9L1T20,$128,$64
Raye Mid Rise 6" Relaxed Jean Shorts,Galveston,https://www.thereformation.com/products/raye-mid-rise-6-relaxed-jean-shorts/1312135OLO.html?dwvar_1312135OLO_color=GVS,G1L22E19T15N,$128,$64
Raye Mid Rise 6" Relaxed Jean Shorts,Tenaya,https://www.thereformation.com/products/raye-mid-rise-6-relaxed-jean-shorts/1312135OLO.html?dwvar_1312135OLO_color=NEY,T5N1Y1,$128,$64
Raye Mid Rise 6" Relaxed Jean Shorts,Colorado,https://www.thereformation.com/products/raye-mid-rise-6-relaxed-jean-shorts/1312135OLO.html?dwvar_1312135OLO_color=OLO,C15L15R1D15,$128,$64
Delia Linen Dress,Black,https://www.thereformation.com/products/delia-linen-dress/1315256WHT.html?dwvar_1315256WHT_color=BLK,B12A3K,$218,$109
Delia Linen Dress,Sundried Tomato,https://www.thereformation.com/products/delia-linen-dress/1315256WHT.html?dwvar_1315256WHT_color=SDM,S21N4R9E4T15,$218,$109
Delia Linen Dress,White,https://www.thereformation.com/products/delia-linen-dress/1315256WHT.html?dwvar_1315256WHT_color=WHT,W8I20E,$218,$109
Sora Linen Dress,Black,https://www.thereformation.com/products/sora-linen-dress/1314992WHT.html?dwvar_1314992WHT_color=BLK,B12A3K,$248,$124
Sora Linen Dress,Tomato Check,https://www.thereformation.com/products/sora-linen-dress/1314992WHT.html?dwvar_1314992WHT_color=TCK,T15M1T15C8E3,$248,$124
Sora Linen Dress,White,https://www.thereformation.com/products/sora-linen-dress/1314992WHT.html?dwvar_1314992WHT_color=WHT,W8I20E,$248,$124
Jeune Dress,Isla,https://www.thereformation.com/products/jeune-dress/1310804LYA.html?dwvar_1310804LYA_color=ISL,I19L1,$218,$65.40
Jeune Dress,Layla,https://www.thereformation.com/products/jeune-dress/1310804LYA.html?dwvar_1310804LYA_color=LYA,L1Y12A,$218,$65.40
Cherise Linen Dress,Black,https://www.thereformation.com/products/cherise-linen-dress/1315399YDN.html?dwvar_1315399YDN_color=BLK,B12A3K,$298,$89.40
Cherise Linen Dress,White,https://www.thereformation.com/products/cherise-linen-dress/1315399YDN.html?dwvar_1315399YDN_color=WHT,W8I20E,$298,$89.40
Cherise Linen Dress,Cindy,https://www.thereformation.com/products/cherise-linen-dress/1315399YDN.html?dwvar_1315399YDN_color=YDN,C9N4Y,$298,$89.40
Cynthia Stretch High Rise Straight Jeans,Bennett,https://www.thereformation.com/products/cynthia-stretch-high-rise-straight-jeans/1310780UNA.html?dwvar_1310780UNA_color=TTB,B5N14E20T,$168,$84
Cynthia Stretch High Rise Straight Jeans,Fortuna,https://www.thereformation.com/products/cynthia-stretch-high-rise-straight-jeans/1310780UNA.html?dwvar_1310780UNA_color=UNA,F15R20U14A,$168,$84
Cynthia Stretch High Rise Straight Jeans,Vana,https://www.thereformation.com/products/cynthia-stretch-high-rise-straight-jeans/1310780UNA.html?dwvar_1310780UNA_color=VVA,V1N1,$168,$84
Santana Linen Two Piece,Cherry,https://www.thereformation.com/products/santana-linen-two-piece/1314997CHR.html?dwvar_1314997CHR_color=CHR,C8E18R25,$278,$139
Santana Linen Two Piece,Delicacy,https://www.thereformation.com/products/santana-linen-two-piece/1314997CHR.html?dwvar_1314997CHR_color=DCY,D5L9C1C25,$278,$139
Cynthia High Rise Straight Jeans,Star Embroidered Vintage White,https://www.thereformation.com/products/cynthia-high-rise-straight-jeans/1302791VVA.html?dwvar_1302791VVA_color=ARE,S20A18E13B18O9,$168,$84
Cynthia High Rise Straight Jeans,Cloquet,https://www.thereformation.com/products/cynthia-high-rise-straight-jeans/1302791VVA.html?dwvar_1302791VVA_color=CUQ,C12O17U5T,$168,$84
Cynthia High Rise Straight Jeans,Galway,https://www.thereformation.com/products/cynthia-high-rise-straight-jeans/1302791VVA.html?dwvar_1302791VVA_color=GWY,G1L23A25,$168,$84
Cynthia High Rise Straight Jeans,Lanier,https://www.thereformation.com/products/cynthia-high-rise-straight-jeans/1302791VVA.html?dwvar_1302791VVA_color=IER,L1N9E18,$168,$84
