Product Name,Color,Product URL,Unique Color ID, Swatch Image URL,Scraped Image URL
Airbrush Legging,Black,https://www.aloyoga.com/products/w5374r-airbrush-legging-solid-black,B12A3K,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W5374R_01_b1_s1_a1_1_M18_320x.jpg?v=1640733277
Ribbed Aspire Full Length Tank,Black,https://www.aloyoga.com/products/w9477r-ribbed-aspire-full-length-tank-black,B12A3K,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W9477R_01_b1_s1_a1_1_m89_320x.jpg?v=1654802152
Emulate Bra,Black,https://www.aloyoga.com/products/w9330r-emulate-bra-black,B12A3K,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W9330R_01_b1_s1_a1_1_m82_320x.jpg?v=1644620322
7/8 High-Waist Airlift Legging,Dark Plum,https://www.aloyoga.com/products/w5766r-7-8-high-waist-airlift-legging-dark-plum,D1R11P12U13,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W5766R_04564_b1_s1_a1_1_m54_320x.jpg?v=1677273865
7/8 High-Waist Airlift Legging,Sugarplum Pink,https://www.aloyoga.com/products/w5766r-7-8-high-waist-airlift-legging-sugarplum-pink,S21G1R16L21M16,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W5766R_04562_b1_s1_a1_1_m18_320x.jpg?v=1664393160
Goddess Rib Cropped Dynamite Tank,Black,https://www.aloyoga.com/products/w9580r-goddess-rib-cropped-dynamite-tank-black,B12A3K,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W9580R_01_b1_s1_a1_1_m54_320x.jpg?v=1689278476
High-Waist Ripped Warrior Legging,Black,https://www.aloyoga.com/products/w5555r-high-waist-ripped-warrior-legging-black,B12A3K,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W5555R_01_b1_s1_a1_1_m19_320x.jpg?v=1645739804
7/8 High-Waist Airbrush Legging,Dark Plum,https://www.aloyoga.com/products/w5604r-7-8-high-waist-airbrush-legging-dark-plum,D1R11P12U13,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W5604R_04564_b1_s1_a1_1_m54_320x.jpg?v=1670442515
Ribbed Devoted Tank,Black,https://www.aloyoga.com/products/w2736r-ribbed-devoted-tank-black,B12A3K,N/A,https://cdn.shopify.com/s/files/1/2185/2813/files/W2736R_01_b1_s1_a1_1_m76_320x.jpg?v=1692982680
Airlift Intrigue Bra,Cinnamon Brown,https://www.aloyoga.com/products/w9557r-airlift-intrigue-bra-cinnamon-brown,C9N14A13O14B18,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W9557R_04455_b1_s1_a1_1_m100_320x.jpg?v=1677274066
7/8 High-Waist Airlift Legging,Fluorescent Pink Coral,https://www.aloyoga.com/products/w51314r-7-8-high-waist-airlift-legging-fluorescent-pink-coral,F12U15R5S3E14,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W51314R_04682_b1_s1_a1_1_m141_320x.jpg?v=1703480485
7/8 High-Waist Airbrush Legging,Classic Red,https://www.aloyoga.com/products/w5604r-7-8-high-waist-airbrush-legging-classic-red,C12A19S9C18E4,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W5604R_04680_b1_s1_a1_1_m18_320x.jpg?v=1672870889
7/8 High-Waist Airbrush Legging,Chalk Blue,https://www.aloyoga.com/products/w5604r-7-8-high-waist-airbrush-legging-chalk-blue,C8A12K2L21E,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W5604R_03808_b1_s1_a1_1_m89_320x.jpg?v=1677273847
7/8 High-Waist Airlift Legging,Infinity Blue,https://www.aloyoga.com/products/w51314r-7-8-high-waist-airlift-legging-infinity-blue,I14F9N9T25B12,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W51314R_04679_b1_s1_a1_1_m141_320x.jpg?v=1678125869
7/8 High-Waist Airlift Legging,Classic Red,https://www.aloyoga.com/products/w51314r-7-8-high-waist-airlift-legging-classic-red,C12A19S9C18E4,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W51314R_04680_b1_s1_a1_1_m131_320x.jpg?v=1675286406
Airlift Barre Bodysuit,Black,https://www.aloyoga.com/products/w8111r-airlift-barre-bodysuit-black,B12A3K,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W8111R_01_b1_s1_a1_1_m76_320x.jpg?v=1658175343
High-Waist Airlift Legging,Dark Plum,https://www.aloyoga.com/products/w5561r-high-waist-airlift-legging-dark-plum,D1R11P12U13,N/A,https://cdn.shopify.com/s/files/1/2185/2813/products/W5561R_04564_b1_s1_a1_1_m54_320x.jpg?v=1677103511
