Product Name,Color,Product URL,Unique Color ID, Swatch Image URL,Scraped Image URL
STRIPED CROPPED COATIGAN,White / Black,https://us.sandro-paris.com/en/p/striped-cropped-coatigan/SFPCA00925_B264.html,W8I20E2L1C11,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw019dc098/images/swatch/Sandro_SFPCA00925-B264_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwafc67fa8/images/hi-res/Sandro_SFPCA00925-B264_V_1.jpg?sw=650&sh=650
KNIT CARDIGAN WITH RUFFLED COLLAR,Charcoal Grey,https://us.sandro-paris.com/en/p/knit-cardigan-with-ruffled-collar/SFPCA00699_23.html,C8A18C15A12G18,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw49f12919/images/swatch/Sandro_SFPCA00699-23_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw056039f0/images/hi-res/Sandro_SFPCA00699-23_V_1.jpg?sw=650&sh=650
TWO-TONE DOUBLE-WAISTED JEANS,Grey,https://us.sandro-paris.com/en/p/two-tone-double-waisted-jeans/SFPJE00432_24.html,G18E25,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw0327c23a/images/swatch/Sandro_SFPJE00432-24_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw7d07c864/images/hi-res/Sandro_SFPJE00432-24_V_1.jpg?sw=650&sh=650
SHIRT CARDIGAN,Black,https://us.sandro-paris.com/en/p/shirt-cardigan-/SFPCA00951_20.html,B12A3K,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw95b28d3c/images/swatch/Sandro_SFPCA00951-20_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwf60bbd0f/images/hi-res/Sandro_SFPCA00951-20_V_1.jpg?sw=650&sh=650
SHORT PLEATED SKIRT,Light Grey,https://us.sandro-paris.com/en/p/short-pleated-skirt/SFPJU01027_27.html,L9G8T7R5Y,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwdb623299/images/swatch/Sandro_SFPJU01027-27_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw92abd252/images/hi-res/Sandro_SFPJU01027-27_V_1.jpg?sw=650&sh=650
SHORT TWEED TRAPEZE DRESS,Blue,https://us.sandro-paris.com/en/p/short-tweed-trapeze-dress/SFPRO03474_47.html,B12U5,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwbec80ace/images/swatch/Sandro_SFPRO03474-47_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwb379fcb3/images/hi-res/Sandro_SFPRO03474-47_V_1.jpg?sw=650&sh=650
LONG SATIN-EFFECT SKIRT,Sky Blue,https://us.sandro-paris.com/en/p/long-satin-effect-skirt/SFPJU01119_40.html,S11Y2L21E,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw5959ea1a/images/swatch/Sandro_SFPJU01119-40_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe3a11db8/images/hi-res/Sandro_SFPJU01119-40_V_1.jpg?sw=650&sh=650
LEATHER JACKET,Black,https://us.sandro-paris.com/en/p/leather-jacket/SFPBL00935_20.html,B12A3K,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw26b4c142/images/swatch/Sandro_SFPBL00935-20_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw907d59a1/images/hi-res/Sandro_SFPBL00935-20_V_1.jpg?sw=650&sh=650
STRIPED KNIT MIDI DRESS,White / Black,https://us.sandro-paris.com/en/p/striped-knit-midi-dress/SFPRO03426_B264.html,W8I20E2L1C11,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw4416dfdc/images/swatch/Sandro_SFPRO03426-B264_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwc2c8dbba/images/hi-res/Sandro_SFPRO03426-B264_V_1.jpg?sw=650&sh=650
OVERSIZED CROPPED COATIGAN,Ecru/Black,https://us.sandro-paris.com/en/p/oversized-cropped-coatigan/SFPCA00620_1120.html,E3R21B12A3K,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw733766a3/images/swatch/Sandro_SFPCA00620-1120_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw6a2b704b/images/hi-res/Sandro_SFPCA00620-1120_V_1.jpg?sw=650&sh=650
STRIPED SUIT JACKET,Deep blu,https://us.sandro-paris.com/en/p/striped-suit-jacket/SFPVE00989_D234.html,D5E16B12U,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw36e87755/images/swatch/Sandro_SFPVE00989-D234_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw39332ff6/images/hi-res/Sandro_SFPVE00989-D234_V_1.jpg?sw=650&sh=650
STRIPED SHORTS,Deep blu,https://us.sandro-paris.com/en/p/striped-shorts/SFPSH00379_D234.html,D5E16B12U,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw92ff21b7/images/swatch/Sandro_SFPSH00379-D234_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw778dabdc/images/hi-res/Sandro_SFPSH00379-D234_V_1.jpg?sw=650&sh=650
