Product Name,Color,Product URL,Unique Color ID, Swatch Image URL,Scraped Image URL
Patterned cotton shorts,Floral ecru black print,"https://us.maje.com/en/p/patterned-cotton-shorts/MFPSH00563_B046.html",F12O18A12E3R21,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw880d736d/images/swatch/Maje_MFPSH00563-B046_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwd969781a/images/hi-res/Maje_MFPSH00563-B046_H_1.jpg?sw=720&sh=955"
Long denim skirt,Blue,"https://us.maje.com/en/p/long-denim-skirt/MFPJU01194_0201.html",B12U5,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw8819988e/images/swatch/Maje_MFPJU01194-0201_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw01d60352/images/hi-res/Maje_MFPJU01194-0201_H_1.jpg?sw=720&sh=955"
Knit cardigan,Black,"https://us.maje.com/en/p/knit-cardigan/MFPCA00488_2517.html",B12A3K,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw8ee33d7d/images/swatch/Maje_MFPCA00488-2517_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwd1a77d94/images/hi-res/Maje_MFPCA00488-2517_H_1.jpg?sw=720&sh=955"
Floral blouse,Blue Daisy Print,"https://us.maje.com/en/p/floral-blouse/MFPTO00978_K032.html",B12U5D1I19Y16,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw611221b0/images/swatch/Maje_MFPTO00978-K032_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw416518fe/images/hi-res/Maje_MFPTO00978-K032_H_1.jpg?sw=720&sh=955"
Short floral dress,Blue Daisy Print,"https://us.maje.com/en/p/short-floral-dress/MFPRO03474_K032.html",B12U5D1I19Y16,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw4fb683ff/images/swatch/Maje_MFPRO03474-K032_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwf99012f7/images/hi-res/Maje_MFPRO03474-K032_H_1.jpg?sw=720&sh=955"
Crochet trousers,Black,"https://us.maje.com/en/p/crochet-trousers/MFPPA00630_2517.html",B12A3K,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw122959ec/images/swatch/Maje_MFPPA00630-2517_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwfa25a9a9/images/hi-res/Maje_MFPPA00630-2517_H_1.jpg?sw=720&sh=955"
Guipure crop top,Black,"https://us.maje.com/en/p/guipure-crop-top/MFPTO01011_2517.html",B12A3K,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwd64791d8/images/swatch/Maje_MFPTO01011-2517_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwde9122d2/images/hi-res/Maje_MFPTO01011-2517_H_1.jpg?sw=720&sh=955"
White cotton poplin shirt,White,"https://us.maje.com/en/p/white-cotton-poplin-shirt/MFPCM00345_10.html",W8I20E,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwdf8c92e3/images/swatch/Maje_MFPCM00345-10_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw17b58896/images/hi-res/Maje_MFPCM00345-10_H_1.jpg?sw=720&sh=955"
Cutaway maxi dress,Floral ecru black print,"https://us.maje.com/en/p/cutaway-maxi-dress/MFPRO03621_B046.html",F12O18A12E3R21,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwdd7f8101/images/swatch/Maje_MFPRO03621-B046_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwee5a46a4/images/hi-res/Maje_MFPRO03621-B046_H_1.jpg?sw=720&sh=955"
Blue ruffled dress,Light Blue,"https://us.maje.com/en/p/blue-ruffled-dress/MFPRO02830_2507.html",L9G8T2L21E,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw40f528c7/images/swatch/Maje_MFPRO02830-2507_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe4c3ca00/images/hi-res/Maje_MFPRO02830-2507_H_1.jpg?sw=720&sh=955"
Wide-leg jeans,White,"https://us.maje.com/en/p/wide-leg-jeans/MFPJE00523_10.html",W8I20E,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwfa947fc7/images/swatch/Maje_MFPJE00523-10_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw5c96a358/images/hi-res/Maje_MFPJE00523-10_H_1.jpg?sw=720&sh=955"
Short tweed tie dress,Ecru,"https://us.maje.com/en/p/short-tweed-tie-dress/MFPRO03515_0101.html",E3R21,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw85c257bf/images/swatch/Maje_MFPRO03515-0101_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw0d121912/images/hi-res/Maje_MFPRO03515-0101_H_1.jpg?sw=720&sh=955"
Short tweed dress with trim,Black,"https://us.maje.com/en/p/short-tweed-dress-with-trim/MFPRO03422_2517.html",B12A3K,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2fa5563a/images/swatch/Maje_MFPRO03422-2517_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2cdef7b9/images/hi-res/Maje_MFPRO03422-2517_H_1.jpg?sw=720&sh=955"
Asymmetrical maxi dress,Tie-dye blue drop print,"https://us.maje.com/en/p/asymmetrical-maxi-dress/MFPRO03537_O018.html",T9E4Y5B12U5,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2e9aa9d5/images/swatch/Maje_MFPRO03537-O018_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwb1e47aa4/images/hi-res/Maje_MFPRO03537-O018_H_1.jpg?sw=720&sh=955"
2-in-1 maxi dress,Tie-dye blue drop print,"https://us.maje.com/en/p/2-in-1-maxi-dress/MFPRO03559_O018.html",T9E4Y5B12U5,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwa30ba1af/images/swatch/Maje_MFPRO03559-O018_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwa2c8c950/images/hi-res/Maje_MFPRO03559-O018_H_1.jpg?sw=720&sh=955"
Crochet-knit maxi dress,Black,"https://us.maje.com/en/p/crochet-knit-maxi-dress/MFPRO02952_2517.html",B12A3K,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw1bba9d97/images/swatch/Maje_MFPRO02952-2517_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2831563e/images/hi-res/Maje_MFPRO02952-2517_H_1.jpg?sw=720&sh=955"
