Product Name,Color,Product URL,Unique Color ID,Swatch Image URL,Scraped Image URL
Cardigan with contrasting trims,Dark Navy,"https://shop.mango.com/us/en/p/women/sweaters-and-cardigans/cardigans/cardigan-with-contrasting-trims_77052918?c=56",D1R11N1V25,https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77052918_56_C.png?imwidth=10&imdensity=1&ts=1715006126076,"https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77052918_56_B.jpg?ts=1715006126076&im=SmartCrop,width=320,height=448&imdensity=1"
Cardigan with contrasting trims,Ecru,"https://shop.mango.com/us/en/p/women/sweaters-and-cardigans/cardigans/cardigan-with-contrasting-trims_77052918?c=05",E3R21,https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77052918_05_C.png?imwidth=10&imdensity=1&ts=1715009717430,"https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77052918_05_B.jpg?ts=1715009717430&im=SmartCrop,width=320,height=448&imdensity=1"
Striped cardigan with jewel buttons,Off White,"https://shop.mango.com/us/en/p/women/sweaters-and-cardigans/cardigans/striped-cardigan-with-jewel-buttons_67064024?c=02",O6F23H9T5,null,"https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67064024_02_B.jpg?ts=1698676376519&im=SmartCrop,width=320,height=448&imdensity=1"
Catherin high-rise culotte jeans,White,"https://shop.mango.com/us/en/p/women/jeans/wideleg/catherin-high-rise-culotte-jeans_77010361?c=01",W8I20E,https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77010361_01_C.png?imwidth=10&imdensity=1&ts=1713792911177,"https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77010361_01_B.jpg?ts=1713792911177&im=SmartCrop,width=320,height=448&imdensity=1"
100% linen suit blazer,Ecru,"https://shop.mango.com/us/en/p/women/blazers/plus-sizes/100-linen-suit-blazer_67077112?c=05",E3R21,https://shop.mango.com/assets/rcs/pics/static/T6/colv3/67077112_05_C.png?imwidth=10&imdensity=1&ts=1704963814075,"https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67077112_05_B.jpg?ts=1704963814075&im=SmartCrop,width=320,height=448&imdensity=1"
Heeled-heeled shoe with detail,White,"https://shop.mango.com/us/en/p/women/shoes/heeled-shoes/heeled-heeled-shoe-with-detail_77074051?c=01",W8I20E,null,"https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77074051_01_B.jpg?ts=1725471233463&im=SmartCrop,width=320,height=448&imdensity=1"
Lyocell dress with belt,Charcoal,"https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/lyocell-dress-with-belt_77013273?c=95",C8A18C15A12,https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77013273_95_C.png?imwidth=10&imdensity=1&ts=1716801065801,"https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77013273_95_B.jpg?ts=1716799002888&im=SmartCrop,width=320,height=448&imdensity=1"
Linen vest with buttons,White,"https://shop.mango.com/us/en/p/women/vests/suit/linen-vest-with-buttons_67069229?c=01",W8I20E,null,"null"
Slit denim skirt,Medium Blue,"https://shop.mango.com/us/en/p/women/skirts/midi/slit-denim-skirt_77010372?c=TM",M5D9U13B12U5,null,"null"
100% linen suit blazer,Sky Blue,"https://shop.mango.com/us/en/p/women/blazers/plus-sizes/100-linen-suit-blazer_67077112?c=50",S11Y2L21E,https://shop.mango.com/assets/rcs/pics/static/T6/colv3/67077112_50_C.png?imwidth=10&imdensity=1&ts=1705483783203,"https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67077112_50_B.jpg?ts=1705483783203&im=SmartCrop,width=320,height=448&imdensity=1"
