title,price,image_url,link_url
"
                                    Visko Jacket                                ",$399.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/blazer-women-visko-jacket--wwbl00770.html
"
                                    Verys Jacket                                 ",$374.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/blazer-women-verys-jacket--rwbl00002.html
"
                                    Voici Velvet Jacket                                ",$349.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/blazer-women-voici-velvet-jacket-wwbl00766.html
"
                                    Very Sequins Jacket                                 ",$429.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/blazer-women-very-sequins-jacket--wwbl00762.html
"
                                    Very Creased Suede Jacket                                ",$479.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/blazer-women-very-creased-suede-jacket-rwbl00049.html
"
                                    Vanille Car Blazer                                ",$424.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/blazer-women-vanille-car-blazer-wwbl00767.html
"
                                    Verys Blazer                                 ",$374.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/blazer-women-verys-blazer--rwbl00001.html
"
                                    Visko Jac Jacket                                ",$399.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/blazer-women-visko-jac-jacket--wwbl00773.html
"
                                    Alma Sweater                                ",$434.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/sweater-women-alma-sweater-kwsw01423.html
"
                                    Amanda Sweater                                ",$399.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/sweater-women-amanda-sweater--kwsw01424.html
"
                                    Kanson Sweater                                ",$838.80,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/sweater-women-kanson-jumper--kwsw01458.html
"
                                    Fera Coat                                ",$274.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/coat-women-fera-coat--wwco00178.html
"
                                    Kain Shearling Coat                                ","$1,149.00",https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/jacket-women-kain-shearling-coat--rwow00202.html
"
                                    Bristola Down Jacket                                ",$399.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/down-jacket-women-bristola-down-jacket-wwow00570.html
"
                                    Monaco Coat                                 ",$399.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/coat-women-monaco-coat--wkct0606f.html
"
                                    Touchy Shirt                                ",$179.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/shirt-women-touchy-shirt-wwsh00020.html
"
                                    Thelma Shirt                                 ",$189.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/shirt-women-thelma-shirt--wkca0503f.html
"
                                    Rilena Dress                                ",$499.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/dress-women-rilena-dress-wwdr01159.html
"
                                    Rivali Dress                                ",$199.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/dress-women-rivali-dress-wwdr01180.html
"
                                    Rabella Dress                                ",$274.00,https://us.zadig-et-voltaire.com/static/version1675168864/frontend/OneRockwell/boilerplate/en_US/images/pixel.gif,https://us.zadig-et-voltaire.com/dress-women-rabella-dress--wwdr01190.html
